Datetime;demand;price;solar_power;wind_power
2019-01-13 19:00:00;16.462;71.69;0;0.7230087859
2019-01-13 20:00:00;16.255;71.69;0;0.971971669
2019-01-13 21:00:00;16.004;70.01;0;1.6669063079
2019-01-13 22:00:00;15.572;68;0;2.4794339662
2019-01-13 23:00:00;14.932;60;0;2.8218344685
2019-01-14 00:00:00;14.338;51.91;0;2.8808605923
2019-01-14 01:00:00;13.814;51.41;0;2.6915667524
2019-01-14 02:00:00;13.478;50.81;0;3.4197188935
2019-01-14 03:00:00;13.368;50.47;0;4.3240309497
2019-01-14 04:00:00;13.362;51.31;0;3.4033397565
2019-01-14 05:00:00;13.381;56.2;0;2.422091679
2019-01-14 06:00:00;13.664;66.49;0;1.734596536
2019-01-14 07:00:00;14.215;67.83;1.8785673067;1.6319437388
2019-01-14 08:00:00;14.774;68.07;8.2932802;1.705512087
2019-01-14 09:00:00;15.129;67.27;15.81077704;2.1867831793
2019-01-14 10:00:00;15.418;67;23.4983257467;3.8694563201
2019-01-14 11:00:00;15.8;67.2;31.5068292867;5.8345853831
2019-01-14 12:00:00;15.698;66.42;32.2705452267;6.2907826188
2019-01-14 13:00:00;15.61;64.33;25.15305566;5.3099937695
2019-01-14 14:00:00;15.405;62.56;11.5706565867;4.0013466423
2019-01-14 15:00:00;15.157;62.84;1.2264930667;2.0589034495
2019-01-14 16:00:00;15.057;68.07;0;1.1731748254
2019-01-14 17:00:00;15.137;71.64;0;0.96992045
2019-01-14 18:00:00;15.489;72.52;0;0.9405910794
2019-01-14 19:00:00;15.633;71.81;0;0.6502976635
2019-01-14 20:00:00;15.357;70.11;0;0.2832519177
2019-01-14 21:00:00;15.164;68.4;0;0.2458095165
2019-01-14 22:00:00;14.702;65.54;0;0.891269977
2019-01-14 23:00:00;14.206;60;0;3.3710100953
2019-01-15 00:00:00;13.613;56.2;0;8.5975468039
2019-01-15 01:00:00;13.206;54.9;0;15.10281958
2019-01-15 02:00:00;12.907;54.9;0;22.0480023004
2019-01-15 03:00:00;12.821;54.9;0;32.3093326608
2019-01-15 04:00:00;12.768;57.57;0;44.9749978788
2019-01-15 05:00:00;12.837;66.01;0;62.4946127065
2019-01-15 06:00:00;13.057;68.65;0;63.1817098518
2019-01-15 07:00:00;13.493;70.16;5.5758947267;67.0469718881
2019-01-15 08:00:00;14.018;70.11;29.5237981067;79.9360975197
2019-01-15 09:00:00;14.459;71.04;59.8410591867;79.809840396
2019-01-15 10:00:00;14.704;70.11;89.51850614;84.1499749459
2019-01-15 11:00:00;14.668;69.43;91.66137644;92.0331770681
2019-01-15 12:00:00;14.629;69.43;89.08675264;96.5072531593
2019-01-15 13:00:00;14.553;69.13;81.1637808533;95.0657972536
2019-01-15 14:00:00;14.403;68.99;61.4248779533;87.0164463898
2019-01-15 15:00:00;14.157;69.08;19.7478149667;66.8475750291
2019-01-15 16:00:00;14.276;71.52;0;50.2327314857
2019-01-15 17:00:00;14.499;74.05;0;43.853379066
2019-01-15 18:00:00;15.112;74.74;0;49.5711368099
2019-01-15 19:00:00;15.498;72.92;0;54.0022597622
2019-01-15 20:00:00;15.32;72.71;0;54.7498525613
2019-01-15 21:00:00;15.206;71.88;0;51.1498713147
2019-01-15 22:00:00;14.907;70.16;0;55.2949869805
2019-01-15 23:00:00;14.467;70.16;0;52.6020731589
2019-01-16 00:00:00;13.909;68.4;0;46.6788567445
2019-01-16 01:00:00;13.525;66;0;39.6427774673
2019-01-16 02:00:00;13.313;63.93;0;30.4701545694
2019-01-16 03:00:00;13.286;61.07;0;23.33727
2019-01-16 04:00:00;13.344;63.93;0;17.5179922216
2019-01-16 05:00:00;13.65;68.07;0;14.8713685967
2019-01-16 06:00:00;14.318;70.3;0;14.2231833826
2019-01-16 07:00:00;15.27;71.69;1.19431328;12.8685828261
2019-01-16 08:00:00;16.082;72.47;4.0778967533;14.2295207309
2019-01-16 09:00:00;16.238;72.2;6.57905622;16.8537646378
2019-01-16 10:00:00;16.382;71.04;11.1385177;25.6303491864
2019-01-16 11:00:00;16.535;70.04;14.3631442867;40.4846957266
2019-01-16 12:00:00;16.366;70;12.0478616267;55.7754008469
2019-01-16 13:00:00;16.145;68.71;7.41561024;71.1396437002
2019-01-16 14:00:00;15.838;68.29;3.39737616;83.7377717661
2019-01-16 15:00:00;15.514;68.29;0.31209094;88.1910295148
2019-01-16 16:00:00;15.407;69.59;0;90.2687307029
2019-01-16 17:00:00;15.398;72.33;0;100.3321031192
2019-01-16 18:00:00;16.084;72.95;0;112.3740140602
2019-01-16 19:00:00;16.424;72.2;0;121.6994068531
2019-01-16 20:00:00;16.42;72.99;0;129.4866915241
2019-01-16 21:00:00;16.118;71.59;0;121.1565685746
2019-01-16 22:00:00;15.701;70;0;104.6120787825
2019-01-16 23:00:00;14.854;67.36;0;89.8195443502
2019-01-17 00:00:00;14.089;65.54;0;76.6470749553
2019-01-17 01:00:00;13.486;58.9;0;69.1452158818
2019-01-17 02:00:00;13.08;55;0;67.5846974266
2019-01-17 03:00:00;13.036;52.2;0;69.9297306234
2019-01-17 04:00:00;12.936;54.1;0;75.0135392256
2019-01-17 05:00:00;13.117;60.02;0;79.2014549542
2019-01-17 06:00:00;13.92;67.07;0;81.4822574417
2019-01-17 07:00:00;15.097;68.17;47.0806898733;85.812074666
2019-01-17 08:00:00;15.767;68.13;81.5983524933;96.5061510117
2019-01-17 09:00:00;15.558;68.07;91.2087879733;100.382067141
2019-01-17 10:00:00;15.399;67.46;94.28788292;107.2095649963
2019-01-17 11:00:00;15.377;67.16;92.1440250667;111.3639570706
2019-01-17 12:00:00;15.184;67.01;86.23009806;109.3055128492
2019-01-17 13:00:00;15.091;65.18;73.06251956;103.6735389222
2019-01-17 14:00:00;14.956;65.08;53.6515566267;94.974196547
2019-01-17 15:00:00;14.841;66.26;15.7093721733;73.9834598891
2019-01-17 16:00:00;14.682;68.25;0;59.8590105569
2019-01-17 17:00:00;14.799;72.09;0;54.4448944602
2019-01-17 18:00:00;15.273;73.45;0;51.481893261
2019-01-17 19:00:00;15.511;70.84;0;44.3014326561
2019-01-17 20:00:00;15.475;70.11;0;38.5499675666
2019-01-17 21:00:00;15.254;68.74;0;34.0432862774
2019-01-17 22:00:00;14.734;68.12;0;31.5522185316
2019-01-17 23:00:00;13.988;68.1;0;29.7736891701
2019-01-18 00:00:00;13.219;66.05;0;26.0478487974
2019-01-18 01:00:00;12.688;61.87;0;22.2096506062
2019-01-18 02:00:00;12.474;58.85;0;18.437826189
2019-01-18 03:00:00;12.378;58.07;0;15.7532703196
2019-01-18 04:00:00;12.388;61.06;0;11.7347485448
2019-01-18 05:00:00;12.7;66.31;0;6.2650658429
2019-01-18 06:00:00;13.5;71.35;0;2.0926414103
2019-01-18 07:00:00;14.819;71.94;32.5263938;0.7068439554
2019-01-18 08:00:00;15.715;71.95;74.9752899333;0.087130886
2019-01-18 09:00:00;15.657;72.01;89.2129186;0.6098243567
2019-01-18 10:00:00;15.611;71.2;91.8915968;11.0860734873
2019-01-18 11:00:00;15.674;69.74;90.3994759733;21.1665904208
2019-01-18 12:00:00;15.566;68.6;86.7304503867;24.4277531447
2019-01-18 13:00:00;15.557;67.44;77.8557180533;21.2832955992
