episode;mean_e;var_e;std_e;rms_e
341;-2536,771893;859830101,439325;29322,859708;29432,385447
342;-6843,328536;890839850,010556;29846,940379;30621,414002
343;-16684,611061;928181114,540889;30466,064966;34735,534555
344;-14224,915181;891496617,996457;29857,940619;33073,325051
345;-9742,805720;836073879,369267;28914,942147;30512,229395
346;-16362,950297;937118746,292742;30612,395305;34711,163748
347;-4116,469781;776381907,899934;27863,630558;28166,065244
348;-5610,714447;893511928,557104;29891,669886;30413,681874
349;-15210,115545;764456018,589109;27648,797778;31556,356467
350;-14820,053253;938007614,823019;30626,909978;34024,132513
351;-14474,037497;955763698,511889;30915,428163;34135,926236
352;-14241,107903;878116326,420774;29633,027628;32877,431176
353;-18298,195123;876811652,154072;29611,005592;34808,556375
354;-12560,126015;1398365160,272627;37394,721021;39447,711287
355;-18324,862010;866516836,593906;29436,658041;34674,448868
356;-14769,331907;814623774,834412;28541,614790;32136,535902
357;-17413,088288;980292400,650241;31309,621535;35826,080505
358;-12580,039743;733785106,762434;27088,468151;29867,080652
359;1763,022991;809577161,050253;28453,069449;28507,637768
360;-14799,996122;1173557246,573924;34257,221816;37317,517760
361;-12017,615827;907475935,335123;30124,341243;32432,992855
362;-16222,012717;951794815,370583;30851,172026;34856,111544
363;-6904,416376;986660993,199814;31411,160329;32161,031680
364;-7900,341856;859931480,673181;29324,588329;30370,164341
365;-11059,084153;847653062,461152;29114,482006;31144,123118
366;-14257,283305;853243939,262312;29210,339595;32504,062308
367;-9618,419021;700351910,688011;26464,162762;28157,874479
368;-11434,288448;737880968,970088;27163,964530;29472,426457
369;-12470,090023;890720088,194455;29844,934046;32345,374219
370;-15221,818580;1158002479,254943;34029,435482;37278,763930
371;-9122,658907;557950921,102510;23620,984761;25321,410439
372;-10303,764650;1057626690,738971;32521,172961;34114,428864
373;-14525,018902;774130391,920972;27823,198808;31386,407345
374;-15615,533023;977481062,453413;31264,693545;34947,473929
375;-20185,854421;1144523161,484676;33830,801963;39395,328152
376;-13685,589137;863708892,269486;29388,924653;32419,195584
377;-8828,444234;520253079,494743;22809,056962;24458,015191
378;-13470,204652;665448335,453762;25796,285303;29101,456129
