episode;consensus_deviation
1349;12,191248
1350;12,169243
1351;12,239765
1352;12,303790
1353;12,379350
1354;12,391876
1355;12,374287
1356;12,205674
1357;12,249781
1358;12,123241
1359;12,120457
1360;12,078677
1361;12,049988
1362;12,057557
1363;11,977656
1364;11,920197
1365;11,938838
1366;12,121108
1367;12,462470
1368;12,470927
1369;12,516580
1370;12,521399
1371;12,598803
1372;12,745559
1373;13,026760
1374;12,825403
1375;12,712568
1376;12,684686
1377;12,691924
1378;12,646300
1379;12,638507
1380;12,647892
1381;12,642202
1382;12,621076
1383;12,533473
1384;12,530297
1385;12,662104
1386;12,791263
1387;12,731558
1388;12,729302
1389;12,618832
1390;12,842726
1391;12,929086
1392;12,857614
1393;12,781507
1394;12,729902
1395;12,607567
1396;12,525061
1397;12,555262
1398;12,560264
1399;12,432779
1400;12,623811
1401;12,588964
1402;12,457301
1403;12,483928
1404;12,584491
1405;12,768178
1406;12,664415
1407;12,652044
1408;12,606676
1409;12,561918
1410;12,554571
1411;12,504702
1412;12,486885
1413;12,507310
1414;12,418416
1415;12,529056
1416;12,704627
1417;12,628603
1418;12,824885
1419;12,970925
1420;12,939772
1421;12,881735
1422;12,835855
1423;12,782997
1424;12,730901
1425;12,809849
1426;12,725668
1427;12,751415
1428;12,697393
1429;12,653643
1430;12,676180
1431;12,768043
1432;12,952924
1433;12,880355
1434;12,809102
1435;12,817073
1436;12,909168
1437;12,877094
1438;12,957523
1439;12,840556
1440;12,907624
1441;12,896253
1442;13,071883
1443;13,058564
1444;13,028399
1445;13,033565
1446;12,857589
1447;12,759608
1448;12,795055
1449;12,957373
1450;13,152049
1451;13,047491
1452;12,924654
1453;12,971341
1454;12,949176
1455;12,894204
1456;12,975888
1457;12,943770
1458;12,903436
1459;12,894453
1460;12,914180
1461;12,894047
1462;12,981259
1463;13,023407
1464;12,969520
1465;13,186915
1466;13,307189
1467;13,342508
1468;13,491284
1469;13,649540
1470;13,891289
1471;13,895892
1472;14,024022
1473;13,964559
1474;13,711910
1475;13,856064
1476;13,708745
1477;13,633508
1478;13,543667
1479;13,488439
1480;13,663821
1481;13,939893
1482;13,973186
1483;14,046334
1484;14,062183
1485;14,236306
1486;14,130641
1487;13,902387
1488;13,889673
1489;14,043093
1490;14,022379
1491;13,968411
1492;13,884907
1493;13,759886
1494;13,760325
1495;13,713044
1496;13,820404
1497;13,825008
1498;13,635312
1499;13,579459
