episode;mean_demand_power;mean_energy_balance;mean_renewable_power;mean_total_power;total_reward_wind;total_reward_battery;total_reward_grid;wind_activation_rate;battery_charge_rate;battery_discharge_rate;grid_import_rate
1154;56349,969710;16328,421006;46006,443316;72678,390716;71,000000;-49,639111;65,000000;0,562500;0,031250;0,885417;0,125000
1155;62930,234585;-26008,003875;30426,437034;36922,230710;79,000000;-34,485658;59,000000;0,458333;0,791667;0,072917;0,125000
1156;67102,796441;-52877,553734;3992,489184;14225,242707;57,000000;-93,068126;23,000000;0,197917;0,562500;0,104167;0,083333
1157;75391,166783;-26085,549429;41568,470842;49305,617355;81,000000;-16,141451;67,000000;0,520833;0,750000;0,135417;0,083333
1158;56457,146542;-11121,954701;11560,185583;45335,191841;83,000000;-34,844163;63,000000;0,250000;0,166667;0,687500;0,072917
1159;66000,165288;-2866,728728;14688,278561;63133,436560;71,000000;-16,315871;63,750000;0,302083;0,104167;0,822917;0,125000
116;69175,959870;-19178,928015;18806,983012;49997,031856;11,000000;-88,014472;-10,250000;0,500000;0,343750;0,333333;0,447917
1160;67319,123380;-11286,129605;45866,689254;56032,993775;75,000000;0,113302;55,000000;0,625000;0,729167;0,104167;0,218750
1161;60796,091232;-4867,695796;14522,963186;55928,395436;83,000000;-23,360777;55,000000;0,270833;0,125000;0,802083;0,166667
1162;64904,883710;-41061,281833;4313,501101;23843,601877;67,000000;-89,375886;45,000000;0,177083;0,656250;0,197917;0,156250
1163;61463,496227;-32140,764383;19487,682642;29322,731845;83,000000;-52,066842;67,000000;0,354167;0,791667;0,083333;0,135417
1164;66242,522566;-43975,875164;6073,077338;22266,647402;83,000000;-77,553642;55,000000;0,177083;0,750000;0,145833;0,156250
1165;65648,566705;-37858,324153;4838,401295;27790,242552;81,000000;-95,000000;39,000000;0,145833;0,395833;0,312500;0,156250
1166;65813,746457;-10760,602817;48887,628522;55053,143640;71,000000;-14,642952;51,000000;0,656250;0,687500;0,156250;0,156250
1167;70571,544431;-7124,790927;4432,984911;63446,753504;67,000000;-2,316429;59,000000;0,177083;0,052083;0,885417;0,135417
1168;69579,430171;-43143,698766;15876,316117;26435,731405;83,000000;-61,852552;65,000000;0,281250;0,833333;0,072917;0,093750
1169;52345,387903;11189,383154;35447,777057;63534,771058;75,000000;-43,802997;63,000000;0,520833;0,052083;0,885417;0,156250
117;67634,417585;-16674,881582;27294,785792;50959,536002;9,000000;-61,497555;1,000000;0,458333;0,375000;0,322917;0,489583
1170;66574,488181;-8541,870713;5199,023248;58032,617468;75,000000;-6,456861;69,000000;0,166667;0,114583;0,822917;0,093750
1171;70476,082428;-36471,677366;20939,803602;34004,405062;77,000000;-55,982828;65,000000;0,343750;0,750000;0,156250;0,104167
1172;61523,300677;-3275,363749;33636,735572;58247,936927;77,000000;-35,439634;65,000000;0,489583;0,291667;0,614583;0,104167
1173;58164,996431;-3652,462975;12259,786363;54512,533457;63,000000;-16,706170;65,000000;0,291667;0,125000;0,791667;0,114583
1174;68729,449433;-5516,536482;3551,950245;63212,912951;81,000000;-5,043368;69,000000;0,135417;0,062500;0,843750;0,083333
1175;62579,282731;6190,473614;27484,379685;68769,756345;77,000000;-24,241548;65,000000;0,395833;0,083333;0,864583;0,135417
1176;68234,408552;-9189,462180;15103,918280;59044,946372;85,000000;-22,247818;63,000000;0,281250;0,166667;0,750000;0,114583
1177;71207,491683;-41145,377411;21387,331587;30062,114271;75,000000;-57,818843;67,000000;0,333333;0,833333;0,093750;0,104167
1178;64668,067920;538,062790;17657,420987;65206,130710;57,000000;-13,539420;69,000000;0,354167;0,031250;0,895833;0,093750
1179;59546,172670;3562,275834;49144,034962;63108,448504;73,000000;-44,297915;83,000000;0,625000;0,385417;0,572917;0,031250
118;66694,919513;-19540,525615;9702,922486;47154,393898;21,000000;-54,407965;7,000000;0,416667;0,312500;0,343750;0,427083
1180;64394,034280;-2194,454999;52379,122448;62199,579281;65,000000;-37,340162;63,000000;0,656250;0,625000;0,250000;0,114583
1181;59895,539092;-11111,603907;32949,769917;48783,935185;77,000000;-45,684349;63,000000;0,468750;0,520833;0,416667;0,166667
1182;66951,061647;-43345,113910;2760,399262;23605,947738;77,000000;-93,151431;47,000000;0,125000;0,614583;0,197917;0,135417
1183;54439,582035;3063,072603;28556,748459;57502,654639;67,000000;-39,610558;73,000000;0,458333;0,072917;0,822917;0,083333
1184;64069,010258;-7886,160293;10056,928699;56182,849965;65,000000;-12,361711;55,000000;0,270833;0,083333;0,770833;0,083333
1185;72621,305931;-39282,514917;26092,592224;33338,791014;75,000000;-50,331280;65,750000;0,385417;0,885417;0,062500;0,125000
1186;70794,925263;-47908,873178;3885,012438;22886,052085;67,000000;-93,210008;43,000000;0,166667;0,541667;0,218750;0,083333
1187;76400,245593;-26473,527004;41459,410607;49926,718589;71,000000;-28,293271;65,000000;0,531250;0,812500;0,072917;0,104167
1188;69891,747812;-11463,232541;3157,766515;58428,515271;75,000000;-5,812401;49,000000;0,125000;0,052083;0,822917;0,125000
